@relation mean_amplitude
@attribute ch_0 REAL
@attribute ch_1 REAL
@attribute ch_2 REAL
@attribute ch_3 REAL
@attribute ch_4 REAL
@attribute ch_5 REAL
@attribute ch_6 REAL
@attribute ch_7 REAL
@attribute ch_8 REAL
@attribute ch_9 REAL
@attribute ch_10 REAL
@attribute ch_11 REAL
@attribute ch_12 REAL
@attribute ch_13 REAL
@attribute ch_14 REAL
@attribute ch_15 REAL
@attribute ch_16 REAL
@attribute ch_17 REAL
@attribute ch_18 REAL
@attribute ch_19 REAL
@attribute ch_20 REAL
@attribute ch_21 REAL
@attribute ch_22 REAL
@attribute ch_23 REAL
@attribute ch_24 REAL
@attribute ch_25 REAL
@attribute ch_26 REAL
@attribute ch_27 REAL
@attribute ch_28 REAL
@attribute ch_29 REAL
@attribute ch_30 REAL
@attribute ch_31 REAL
@attribute orientation_classes {0,45,90,180,135,225,315,270}
@data
72.26,67.59,60.69,0.00,56.75,62.90,0.00,59.74,61.81,73.22,0.00,0.00,0.00,0.00,89.16,68.61,67.22,60.85,0.00,0.00,55.62,63.13,0.00,0.00,59.66,81.91,74.88,67.04,0.00,0.00,0.00,72.30,0
0.00,0.00,0.00,0.00,0.00,57.88,0.00,58.02,55.89,62.60,0.00,0.00,0.00,0.00,105.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.24,90
0.00,0.00,0.00,0.00,0.00,56.38,0.00,0.00,0.00,64.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.15,0.00,0.00,0.00,0.00,0
54.32,0.00,0.00,0.00,0.00,62.50,0.00,61.29,68.54,65.55,0.00,0.00,0.00,0.00,104.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.25,225
0.00,0.00,0.00,0.00,0.00,64.99,0.00,57.45,0.00,69.07,0.00,0.00,0.00,0.00,93.32,65.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.36,0.00,0.00,0.00,61.22,0
85.79,0.00,0.00,0.00,56.62,54.92,0.00,54.87,59.56,62.02,0.00,0.00,0.00,0.00,64.38,0.00,0.00,61.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.73,0.00,0.00,0.00,61.72,45
54.82,0.00,0.00,0.00,0.00,59.29,0.00,55.39,51.91,59.05,0.00,0.00,0.00,0.00,52.14,0.00,0.00,54.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90
58.97,0.00,0.00,0.00,57.54,57.51,0.00,52.25,56.70,66.73,0.00,0.00,0.00,0.00,0.00,57.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.73,45
57.80,0.00,0.00,0.00,54.49,61.29,0.00,54.96,52.37,55.66,0.00,0.00,0.00,0.00,104.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90
0.00,0.00,0.00,0.00,0.00,70.24,0.00,58.97,55.07,60.06,0.00,0.00,0.00,0.00,91.66,82.87,0.00,0.00,0.00,0.00,0.00,0.00,50.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.62,315
81.71,0.00,0.00,0.00,55.87,64.18,0.00,66.53,59.08,61.65,0.00,0.00,0.00,0.00,75.57,68.13,52.44,61.08,0.00,0.00,0.00,87.23,0.00,0.00,56.70,60.67,0.00,62.02,0.00,0.00,0.00,0.00,0
57.30,0.00,0.00,0.00,0.00,0.00,0.00,61.53,0.00,64.36,0.00,0.00,0.00,0.00,80.17,60.29,53.57,57.99,0.00,0.00,0.00,0.00,0.00,0.00,51.91,0.00,0.00,0.00,0.00,0.00,0.00,59.19,135
0.00,0.00,0.00,0.00,56.30,55.11,0.00,54.00,0.00,63.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180
0.00,0.00,0.00,0.00,0.00,51.13,0.00,55.34,0.00,61.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.05,0.00,0.00,0.00,66.37,0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.44,0.00,67.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.56,0.00,71.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90
62.45,0.00,0.00,0.00,55.59,53.61,0.00,53.46,70.63,65.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.58,0.00,0.00,0.00,0.00,0.00,0.00,52.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180
0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.78,0.00,72.32,0.00,0.00,0.00,0.00,73.01,61.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
