@relation mean_amplitude
@attribute ch_0 REAL
@attribute ch_1 REAL
@attribute ch_2 REAL
@attribute ch_3 REAL
@attribute ch_4 REAL
@attribute ch_5 REAL
@attribute ch_6 REAL
@attribute ch_7 REAL
@attribute ch_8 REAL
@attribute ch_9 REAL
@attribute ch_10 REAL
@attribute ch_11 REAL
@attribute ch_12 REAL
@attribute ch_13 REAL
@attribute ch_14 REAL
@attribute ch_15 REAL
@attribute ch_16 REAL
@attribute ch_17 REAL
@attribute ch_18 REAL
@attribute ch_19 REAL
@attribute ch_20 REAL
@attribute ch_21 REAL
@attribute ch_22 REAL
@attribute ch_23 REAL
@attribute ch_24 REAL
@attribute ch_25 REAL
@attribute ch_26 REAL
@attribute ch_27 REAL
@attribute ch_28 REAL
@attribute ch_29 REAL
@attribute ch_30 REAL
@attribute ch_31 REAL
@attribute orientation_classes {0,45,90,180,135,225,315,270}
@data
43.71,34.85,685.71,23.49,20.50,24.18,15.66,27.11,18.82,38.71,16.14,8.61,0.00,0.00,8.65,8.50,5.20,15.19,0.00,0.00,4.13,0.00,0.00,0.00,0.00,0.00,0.00,7.76,0.00,0.00,0.00,14.24,0
25.02,3.42,141.91,193.55,16.17,24.16,0.00,26.32,18.94,36.43,0.00,0.00,0.00,0.00,7.77,4.41,10.31,19.59,0.00,0.00,0.00,0.00,0.00,0.00,3.49,2.93,1.07,12.70,1.63,1.08,0.00,22.40,90
20.69,10.15,3.26,0.00,14.90,20.53,0.00,14.55,17.52,17.74,0.00,0.00,0.00,0.00,9.44,5.89,5.32,20.15,0.00,0.00,0.00,19.80,0.00,0.00,4.27,0.00,2.53,8.31,2232.56,0.00,0.00,16.88,0
19.92,2.96,0.00,22.84,19.53,21.87,0.00,18.56,19.14,22.11,0.00,0.00,0.00,0.00,2.85,4.10,5.22,9.68,0.00,0.00,0.00,32000.00,0.00,0.00,2.71,0.00,1.20,5.50,0.00,0.00,0.00,10.26,225
15.02,0.00,0.00,0.00,11.59,17.20,0.00,15.55,9.69,18.59,0.00,0.00,0.00,0.00,9.39,2.97,7.86,11.04,0.00,0.00,0.00,0.00,0.00,0.00,3.02,0.00,0.00,4.57,0.00,0.00,0.00,13.81,0
38.68,20.48,13.81,4.89,31.10,30.65,21333.33,28.23,37.84,41.64,0.00,0.00,0.00,0.00,5.24,6.21,9.50,21.56,0.00,0.00,82.47,0.00,0.00,0.00,2.30,0.00,3.75,9.27,0.00,0.00,0.00,19.99,45
57.89,5.46,3.35,8.47,16.84,28.17,0.00,36.55,20.28,48.85,0.00,3.07,0.00,2.49,22.69,13.51,10.98,30.46,0.00,0.00,5.22,4.17,0.00,0.00,6.38,3.59,4.29,19.66,3.59,2.56,2.05,30.01,90
72.41,6.22,3.84,6.08,48.78,42.18,0.00,43.99,42.55,54.98,1.45,4.41,0.00,0.00,15.59,9.31,12.95,27.13,0.00,0.00,3.35,5.66,0.00,0.00,3.30,2.76,2.18,14.58,1.65,1.97,0.00,24.03,45
17.03,1.31,0.00,0.00,10.24,12.40,0.00,13.95,9.26,22.72,0.00,0.00,0.00,0.00,4.70,3.62,11.95,25.57,0.00,0.00,0.00,1.93,0.00,0.00,1.54,32000.00,2.53,9.85,0.00,32000.00,0.00,23.35,90
35.34,5.79,23.42,26.17,15.81,26.89,19.60,33.43,19.38,45.67,0.00,14.36,0.00,0.00,17.03,12.43,10.33,32.38,0.00,0.00,3.78,0.00,0.00,0.00,6.58,12.82,5.26,14.04,23.62,0.00,5.81,27.37,315
30.32,0.00,0.00,0.00,12.44,26.17,0.00,24.62,17.37,30.78,0.00,0.00,0.00,0.00,9.64,7.30,4.60,12.58,0.00,0.00,0.00,5.35,0.00,0.00,3.72,4.16,1.59,6.24,0.00,4.16,0.00,11.08,0
11.10,0.00,0.00,0.00,6.14,16.15,0.00,15.41,5.90,16.49,0.00,0.00,0.00,0.00,5.68,5.14,5.64,14.17,0.00,0.00,0.00,0.00,0.00,0.00,21333.33,0.00,0.00,6.15,0.00,0.00,0.00,15.38,135
12.06,0.00,0.00,2.45,12.48,15.01,0.00,17.16,11.37,16.37,0.00,0.00,0.00,0.00,21.97,9.71,5.52,12.71,0.00,0.00,0.00,5.09,0.00,0.00,0.00,3.28,4.21,6.37,0.00,3.58,0.00,10.79,180
28.30,0.00,0.00,0.00,8.80,12.99,0.00,15.32,8.52,16.50,0.00,0.00,0.00,0.00,11.45,6.18,5.33,10.36,0.00,0.00,0.00,2.96,0.00,0.00,13.80,0.00,0.00,8.05,0.00,0.00,0.00,15.14,0
20.10,0.00,0.00,0.00,10.65,15.58,0.00,13.75,11.02,14.65,0.00,0.00,0.00,0.00,11.67,7.52,6.51,9.73,0.00,0.00,3.64,0.00,0.00,0.00,4.62,0.00,0.00,6.17,0.00,0.00,0.00,10.94,0
